name,Sorting,Installed_By,Notes,RHEL9_LD,RHEL8_LD,OpenSUSE_15.6_LD,OpenSUSE_15.5_LD,Legacy-OS_OpenSUSE_15.4_LD,Ubuntu_24.04_LD,Ubuntu_22.04_LD,Legacy-OS_Ubuntu_20.04_LD,Linux_RT,Windows_11,Windows_10,Windows_Server_2025,Windows_Server_2022,Windows_Server_2019_64-bit,Legacy-OS_Windows_Server_2016_64-bit,Linux_Download,Linux_RT_Download,Windows_Download,Legacy-OS_RHEL7_LD,Legacy-OS_CENTOS7_LD,Legacy-OS_OpenSUSE_15.3_LD,Legacy-OS_OpenSUSE_15.2_LD,Legacy-OS_OpenSUSE_15.1_LD,Legacy-OS_Ubuntu_18.04_LD,Legacy-OS_Windows_8,Legacy-OS_Windows_7,Legacy-OS_MacOS 11,Legacy-OS_MacOS 10.15
PXI-1045 (PXI PS),1045,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1050 (PXI PS),1050,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1052 (PXI PS),1052,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1056 (PXI PS),1056,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1062Q (PXI PS),1062,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1065 (PXI PS),1065,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1066DC (PXI PS),1066,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,3.0.2 to 20.5,Not Supported,Not Supported
PXIe-1071 (PXI PS),1071,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1073 (PXI PS),1073,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1075 (PXI PS),1075,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1078 (PXI PS),1078,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.6 to 20.5,Not Supported,Not Supported
PXIe-1078 TCXO (PXI PS),1078,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXIe-1081 (PXI PS),1081,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2025 Q3,2025 Q3,2025 Q3,2025 Q3,Not Supported,2025 Q3,2025 Q3,Not Supported,2025 Q3,2025 Q3,2025 Q3,2025 Q3,2025 Q3,2025 Q3,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported
PXIe-1082 (PXI PS),1082,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1082DC (PXI PS),1082,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,14.0 to 20.5,14.0 to 20.5,Not Supported,Not Supported
